f0_mean,f0_std,f0_cv,speech_rate,voice_activity_ratio,pause_ratio,spectral_centroid_mean,spectral_centroid_std,rms_energy,start_time,end_time,segment_id,file_id,segment_type
227.47954714975114,75.77786455525909,0.33311946284724253,1.7361111111111112,0.7507987220447284,0.24920127795527158,1329.5098976523634,848.6423791094079,0.07655543833971024,40,50,4,4361631,high_variability
217.7859761343124,57.93004432009496,0.26599529202178057,2.4038461538461537,0.610223642172524,0.389776357827476,1790.3164508784564,1193.6051695026333,0.0597999133169651,20,30,2,4361631,high_variability
238.2846855226376,49.69279977134092,0.20854382505677224,2.4038461538461537,0.7827476038338658,0.21725239616613423,1513.050590583197,868.5714495057872,0.1027005985379219,80,90,8,4361631,high_variability
224.8101716294158,34.934841378811605,0.1553970673373236,2.4038461538461537,0.6996805111821086,0.3003194888178914,1500.5894950428433,959.0620883950129,0.08144845813512802,90,100,9,4361631,low_variability
195.21651103657896,29.90702908427602,0.15319928076509956,2.6041666666666665,0.5527156549520766,0.44728434504792336,1411.1610367688643,977.6066351509567,0.046721719205379486,0,10,0,4361631,low_variability
202.30184023954521,22.730503294127786,0.112359350103848,2.6041666666666665,0.7092651757188498,0.29073482428115016,1287.6931627025233,791.7660259385063,0.08220366388559341,10,20,1,4361631,low_variability
151.6685609743556,97.64405053153698,0.6437988855715907,2.2321428571428568,0.597444089456869,0.402555910543131,1530.9373435981947,692.2033017716998,0.07277373224496841,0,10,0,4341191,high_variability
140.2157684637088,65.41303148467468,0.46651694172046804,1.953125,0.7731629392971247,0.22683706070287535,1146.918065361878,602.8810891909984,0.05034054443240166,40,50,4,4341191,high_variability
132.4073652247508,52.18677356716742,0.39413799586287807,1.5625,0.5527156549520766,0.44728434504792336,1154.2147049773223,533.0885733495079,0.05801927670836449,80,90,8,4341191,high_variability
127.51771812091901,15.444518600707129,0.12111664816697726,1.6447368421052633,0.7348242811501597,0.26517571884984026,1311.009322473164,656.345800245432,0.05288184434175491,30,40,3,4341191,low_variability
110.23475043180933,11.213202829118877,0.10172112500998774,1.953125,0.5750798722044729,0.4249201277955271,1275.4026841038221,632.1016296722804,0.04770404100418091,70,80,7,4341191,low_variability
