f0_mean,f0_std,f0_cv,speech_rate,voice_activity_ratio,pause_ratio,spectral_centroid_mean,spectral_centroid_std,rms_energy,start_time,end_time,segment_id,file_id,segment_type
203.79904415029688,116.63119043796641,0.5722852672064238,1.3020833333333333,0.5175718849840255,0.4824281150159745,1111.7667446906114,448.1948381156373,0.032519277185201645,20,30,2,4368670,high_variability
227.4387189946953,70.75630268005568,0.3111005153071847,2.2321428571428568,0.5654952076677316,0.43450479233226835,1184.7182902395198,631.1091132184519,0.037109214812517166,0,10,0,4368670,high_variability
236.34395560745634,50.9223517260631,0.21545865894975555,1.953125,0.7380191693290735,0.2619808306709265,1135.448212373607,513.0098784845457,0.06892770528793335,10,20,1,4368670,high_variability
143.03740587339715,20.833009466638803,0.14564728253725578,2.0833333333333335,0.5782747603833865,0.42172523961661346,1145.9731725441222,571.721964089709,0.033773649483919144,40,50,4,4368670,low_variability
116.02216670005274,16.120853083798124,0.13894631984829842,1.8382352941176472,0.6517571884984026,0.3482428115015974,1183.3299420147423,465.216068843323,0.03298786282539368,80,90,8,4368670,low_variability
113.71223125685736,12.601658427667642,0.11082060644120643,1.7361111111111112,0.6549520766773163,0.34504792332268375,1109.8805891266818,439.52641616478246,0.03324725106358528,90,100,9,4368670,low_variability
203.79904415029688,116.63119043796641,0.5722852672064238,1.3020833333333333,0.5175718849840255,0.4824281150159745,1111.7667446906114,448.1948381156373,0.032519277185201645,20,30,2,4368670,high_variability
227.4387189946953,70.75630268005568,0.3111005153071847,2.2321428571428568,0.5654952076677316,0.43450479233226835,1184.7182902395198,631.1091132184519,0.037109214812517166,0,10,0,4368670,high_variability
236.34395560745634,50.9223517260631,0.21545865894975555,1.953125,0.7380191693290735,0.2619808306709265,1135.448212373607,513.0098784845457,0.06892770528793335,10,20,1,4368670,high_variability
143.03740587339715,20.833009466638803,0.14564728253725578,2.0833333333333335,0.5782747603833865,0.42172523961661346,1145.9731725441222,571.721964089709,0.033773649483919144,40,50,4,4368670,low_variability
116.02216670005274,16.120853083798124,0.13894631984829842,1.8382352941176472,0.6517571884984026,0.3482428115015974,1183.3299420147423,465.216068843323,0.03298786282539368,80,90,8,4368670,low_variability
113.71223125685736,12.601658427667642,0.11082060644120643,1.7361111111111112,0.6549520766773163,0.34504792332268375,1109.8805891266818,439.52641616478246,0.03324725106358528,90,100,9,4368670,low_variability
