,is_downgrade,is_upgrade,is_affirm
f0_cv,-0.19732421274836343,0.26936085062636167,0.0021533257019103603
f0_std,0.0038273847098098716,0.2645570217805283,-0.16304869589445178
jitter_local,-0.05488187614039239,0.279531870518075,-0.12303279984786059
speech_rate,0.05266008553917561,0.11140689250230726,-0.11132265450202986
pause_frequency,0.15618955970497198,0.24074224802797886,-0.27599011093106224
acoustic_volatility_index,0.02367977167439045,-0.11830640793600058,0.05169341544472812
sentiment_positive,-0.10082919678852438,-0.1503837166576186,0.17512860341373765
sentiment_negative,0.10080663648207747,0.3392464822842523,-0.28922402790830937
sentiment_neutral,-0.09149483852187673,-0.333583427972477,0.2780203376836693
sentiment_variability,0.033106284433113094,-0.3356061927637363,0.17511201267327772
acoustic_semantic_alignment,0.042071610356289035,-0.2471499144601757,0.11417271850238371
