,is_downgrade,is_upgrade,is_affirm
f0_cv,0.8790322131259459,0.7713949197504811,0.9920325206918195
f0_std,0.9920325206918195,0.7713949197504811,0.8790322131259459
jitter_local,0.9551363610458108,0.7713949197504811,0.8790322131259459
speech_rate,0.9551363610458108,0.8790322131259459,0.8790322131259459
pause_frequency,0.8790322131259459,0.7713949197504811,0.7713949197504811
acoustic_volatility_index,0.9714189723122858,0.8790322131259459,0.9551363610458108
sentiment_positive,0.8790322131259459,0.8790322131259459,0.8790322131259459
sentiment_negative,0.8790322131259459,0.7713949197504811,0.7713949197504811
sentiment_neutral,0.8853149507057905,0.7713949197504811,0.7713949197504811
sentiment_variability,0.9657432293217166,0.7713949197504811,0.8790322131259459
acoustic_semantic_alignment,0.9618286116584573,0.7713949197504811,0.8790322131259459
